identifier,notify_party_name,notify_party_address_1,notify_party_address_2,notify_party_address_3,notify_party_address_4,city,state_province,zip_code,country_code,contact_name,comm_number_qualifier,comm_number
20180101346,NETWORK BROKERS INTERNATIONAL,100 NORTH CENTRE AVE,"STE 204,ROCKVILLE CENTRE",NY 11570,TEL NO: 516 825 6623,,,,,,,
20180101347,"TRANSINDO USA, INC.","355 SOUTH LEMON AVENUE, SUITE E","WALNUT, CA 91789",USA,,,,,,,,
20180101348,WORKSMAN TRADING CORPORATION,94-15 100TH STREET,,"OZONE PARK, NY, 11416",,OZONE PARK,NY,11416,US,,,
20180101349,OEC SHIPPING LOS ANGELES INC,"13100 ALONDRA BLVD, SUITE 100",CERRITOS CA 90703,UNITED STATES,,,,,,,Telephone Number,EMAIL: ALL.LAX OECGROUP.COM
20180101350,KEN HAMANAKA COMPANY INC.,138 LOMITA STREET,EL SEGUNDO CA 90245,USA,,,,,,,,
20180101351,VASINEE FOOD CORPORATION,"1247 GRAND STREET,",BROOKLYN,"NY,11211,US",,,,,,,,
20180101352,PANACHE HOME INC,911 OAK TREE AVENUE,SOUTH PLAINFIELD NJ 07080,USA,,,,,,,,
20180101355,HOMELEGANCE BY S&A IMPORTS,"10999 ROCKET BLVD., ORLANDO FL",UNITED STATES 32824,,,,,,,,,
20180101357,TOPOCEAN CONSOLIDATION SERVICE (LAX,2727 WORKMAN MILL ROAD,CITY OF INDUSTRY CA 90601 UNITED ST,,,,,,,,,
20180101358,"SINO PACIFIC CUSTOMS BROKERAGE, INC",SUITE 2C 170 DUANE STREET,NEW YORK NY 10013,UNITED STATES,,,,,,,Telephone Number,9253886 9255404
20180101359,"WERNER GLOBAL LOGISTICS U.S., LLC",14507 FRONTIER ROAD OMAHA,NE 68138 US KAYLEE CORNICK,TEL:402-895-6640 EXT.2281 FAX:,402-894-3760. KCORNICK@WERNER.COM,,,,,,,
20180101361,"VANDEGRIFT FORWARDING COMPANY, INC.","100 WALNUT AVE., SUITE 600",CLARK NJ,UNITED STATES,,,,,,,,
20180101362,"APEX MARITIME CO., INC.",.,206 UTAH AVE SOUTH SAN FRANCISCO CA,94080 US,,,,,,,,
20180101364,SAME AS CONSIGNEE,NO ADDRESS,,,,,,,,,,
20180101365,AMERICAN GLOBAL LOGISTICS LLC,3399 PEACHTREE ROAD NE,"SUITE 1130 ATLANTA, GA 30326 USA",TEL : 866-285-9610 FAX : 678-298-,,1-8662859610 TEL,EX,1-678298,83,,,
20180101366,EXPEDITORS INTL OF WA INC,506 E. DALLAS RD,SUITE 400,GRAPEVINE TX 76051,,1-8173054000 TEL,EX,1-817421,10,,,
20180101369,EXPEDITORS INTERNATIONAL OF WASHING,300 TRADEPORT DRIVE,ATLANTA GA 30354,UNITED STATES,,,,,,,Telephone Number,9945154 9945154
20180101371,"ROGERS BROWN CUSTOM BROKERS, INC",150L WEST PHILLIPS ROAD,"GREER, SOUTH CAROLINA 29650 U.S.A.",TEL 864 879 2157 FAX 867 879 1044,,,,,,,Telephone Number,EMAIL TAMMY_POWELL@ROGERS-BROWN.CO
20180101372,TBC CORP,4300 TCB WAY,"PALM BEACH GARDENS, FL 33410",,,,,,,,,
20180101373,"ROGERS BROWN CUSTOM BROKERS, INC",150L WEST PHILLIPS ROAD,"GREER, SOUTH CAROLINA 29650 U.S.A.",TEL 864 879 2157 FAX 867 879 1044,,,,,,,Telephone Number,EMAIL TAMMY_POWELL@ROGERS-BROWN.CO
20180101374,"ROGERS BROWN CUSTOM BROKERS, INC",150L WEST PHILLIPS ROAD,"GREER, SOUTH CAROLINA 29650 U.S.A.",TEL 864 879 2157 FAX 867 879 1044,,,,,,,Telephone Number,EMAIL TAMMY_POWELL@ROGERS-BROWN.CO
20180101375,AMERICAN RETAIL SHIPPERS ASSOCIATIO,SUITE 2 100 QUIMBY STREET,WESTFIELD NJ 07090,UNITED STATES,,,,,,,Telephone Number,9350588
20180101375,QUARTZ LOGISTICS INC.,SUITE D 780 SOUTH NOGALES STREET,CITY OF INDUSTRY CA 91748,UNITED STATES,,,,,,,Telephone Number,6062001
20180101376,CENTROTRADE MINERALS AND METALS,DBA CENTROTRADE RUBBER,1317 EXECUTIVE BLVD SUITE 120,CHESAPEAKE VA 23320,CHESAPEAKE VA 23320 US,,,,,,,
20180101377,UPS-SCS,"2031 S.CENTENNIAL AVE, AIKEN,SC",29803,PH:803-502-6898 FAX:803-502-7995,EMAIL:UPSUSDT@UPS.COM,,,,,,,
20180101378,NORTHERN TOOL AND EQUIPMENT,COMPANY INC.,2800 SOUTHCROSS DRIVE WEST,"BURNSVILLE, MINNESOTA 55337",TEL:952-894-9510 @@,,,,,,,
20180101378,NORTH STAR WORLD,"TRADE SERVICES,INC",1300 MENDOTA HEIGHTS ROAD,"MENDOTA HEIGHTS,MN 55120",NOTIFY4@SHIPNORTHSTAR.COM,,,,,,,
20180101381,JF MORAN,"2050 FORBES STREET JACKSONVILL, FL",32204,T-(904)743-9742 F-(904)743-9732,EMAIL:NIOANNOU@JFMORAN.COM,,,,,,,
20180101382,JF MORAN,"2050 FORBES STREET JACKSONVILL, FL",32204,T-(904)743-9742 F-(904)743-9732,EMAIL:NIOANNOU@JFMORAN.COM,,,,,,,
20180101383,"NORCA INDUSTRIAL COMPANY, LLC","ONE HOLLOW LANE, SUITE 200,","LAKE SUCCESS, NY 11042, USA",,,,,,,,,
20180101385,WARREN ALLOY VALVE & FITTING CO LP,4750 KINGSTON STREET,ALLIED FITTING L.P,DENVER CO 80239,USA,,,,,,,
20180101388,STONE SHOWCASE INC,1785 ENTERPRISES DR STE B & C,BUFORD GA 30518,USA,,,,,,,,
20180101389,PKD LOGISTICS,"5604 WENDY BAGWELL PARKWAY,","SUITE NO 223 HIRAM,GEORGIA-30141",TEL 6789674444 FAX 7706357621,,,,,,,,
20180101393,CV INTERNATIONAL INC.,1128 WEST OLNEY ROAD,"NORFOLK, VA 23507",TEL: 757-466-1170 FAX: 757-466-1823,,,,,,,,
20180101394,HECNY TRANSPORTATION INC.,19550 S. DOMINGUEZ HILLS DR.,RANCHO DOMINGUEZ CA 90220 UNITED ST,,,,,,,,,
20180101396,GARY STANNER SALES INC,147 WEST 35TH STREET ROOM # 206,NEW YORK NY 10011 USA,,,,,,,,,
20180101400,PERIMETER GLOBAL LOGISTICS,6321 EMPEROR DRIVE SUITE 202,"ORLANDO, FLORIDA 32809",TEL _ 407-608-5316,FAX _ 407-264-6181,,,,,,,
20180101401,E. BELSER & CO.,115 MARTIN LANE,ELK GROVE VILLAGE IL 60007,USA,,,,,,,,
20180101403,NEWLIFE MAGNETICS LLC,3440,NORTH BEND CIRCLE,TENNESSEE 37701,USA,,,,,,,
20180101409,COLE INTERNATIONAL INC.,6005 103A STREET,EDMONTON AB T6H 2J7,CANADA,,,,,,,,
20180101410,SAME AS CONSIGNEE,X,X,,,,,,,,,
20180101412,"PANALPINA, INC.","207 E.BAY ST 2ND FL,STE 209 PO BOX",1838 CHARLESTON 29401 USA SOUTH,CAROLINA AS AGENT FOR AND ON BEHALF,,,,,,,Telephone Number,OF PANTAINER (H.K.) LTD.
20180101412,PANTAINER (H.K.) LIMITED,SCAC CODE PNEP,,,,,,,,,,
20180101415,SIGMA CORPORATION,"P.O.BOX NO.300, CREAM RIDGE,",NEW JERSEY 08514. U.S.A.,FAX: 609 935 0600,,1-9099837944 TEL,EX,1-609758,65,,,
20180101416,AGILITY LOGISTICS CORP.,230-59 INTERNATIONAL AIRPORT CENTER,JAMAICA/QUEENS NY 11413 UNITED STAT,,,,,,,,,
20180101417,AGILITY LOGISTICS CORP.,230-59 INTERNATIONAL AIRPORT CENTER,JAMAICA/QUEENS NY 11413 UNITED STAT,,,,,,,,,
20180101419,"OK CONTAINER SALES,INC","2707 E.VALLEY BLVD.,STE305,",WEST COVINA CA 91792 UNITED STATES,,,,,,,,,
20180101420,EXPEDITORS INTERNATIONAL OF WASHING,"4260 FRONTAGE ROAD,",,,,ATLANTA,GA,30354,US,,,
20180101421,"RISING PHARMACEUTICALS INC.,","4580 S.MENDENHALL ROAD,",MEMPHIS,TN 38141 UNITED STATES,,,,,,,,
20180101422,"RISING PHARMACEUTICALS INC.,","4580 S.MENDENHALL ROAD,",MEMPHIS,TN 38141 UNITED STATES,,,,,,,,
20180101423,GULBRANDSEN PUERTO RICO,ROAD # 2 KM 25.2 BO. ESPINOSA,SAN JUAN,PR 00646 UNITED STATES,,,,,,,,
20180101424,AIRLIFT USA INC,11099 S.LA CIENEGA BLVD,"LOS ANGELES,",CA 90045 USA,,,,,,,,
20180101425,PANALPINA INC,.,"21112 72ND AVE., SOUTH KENT WA 9803",2 US,,,,,,,,
20180101427,"TOSOH SPECIALTY CHEMICALS USA, INC",1720 WINDWARD CONCOUSE SUITE 125,,,,ALPHARETTA,GA,30005,US,,,
20180101428,YUSEN LOGISTICS (AMERICAS) INC.,.,691 AIRPORT SOUTH PARKWAY COLLEGE,"PARK, GA - 30349 UNITED STATES",,,,,,,,
20180101429,"NESTOR REYES, INC.",MERCANTIL PLAZA BUILDING,#2 PONCE DE LEON AVE.,SUITE 501,,1-7872896465 TEL,EX,1-787289,64,,,
20180101430,"TOSOH SPECIALTY CHEMICALS USA, INC","C/O CHEMPAK INTERNATIONAL, INC.",255 BLACK HAWK ROAD,,,"GREENVILLE,",SC,29611,US,,,
20180101431,"TOSOH SPECIALTY CHEMICALS USA, INC","C/O CHEMPAK INTERNATIONAL, INC.",255 BLACK HAWK ROAD,,,"GREENVILLE,",SC,29611,US,,,
20180101432,"TOSOH SPECIALTY CHEMICALS USA, INC","C/O CHEMPAK INTERNATIONAL, INC.",255 BLACK HAWK ROAD,,,"GREENVILLE,",SC,29611,US,,,
20180101434,LF LOGISTICS USA LLC CHI,"1200 N. ARLINGTON HEIGHTS ROAD, SUI",ITASCA IL 60106 UNITED STATES,,,,,,,,,
20180101437,CHUNG HUA STONE KITCHEN INC,134-02 32 AVE,FLUSHING NY 11354,USA,,,,,,,,
20180101438,MARVOLUS MANUFACTURING CO,"220 NORTH WASHTENAW AVE,CHICAGO,IL","60612,",USA,,,,,,,,
20180101441,DYMAK USA INC.,"1350 SOUTH SHEELER AVE.APOPKA, FL 3",2703,,,,,,,,,
20180101447,"TOSOH SPECIALTY CHEMICALS USA, INC","C/O CHEMPAK INTERNATIONAL, INC.",255 BLACK HAWK ROAD,,,"GREENVILLE,",SC,29611,US,,,
20180101449,"CHALLENGER OF AMERICA,INC.,","2200 N.COMMERCE PARKWAY,SUITE #200,","WESTON,FL 33326,USA.",EMAIL:MARIO@CHALLENGERUS.COM,,,,,,,,
20180101452,"STAR ASIA CUSTOMS, TRADE & SECURITY",14805 DETROIT AVE. SUITE 520,"CLEVELAND, OH 44107 TEL (216) 586-",5700 FAX (216) 672-5255,,,,,,,,
20180101453,STAR ASIA INTERNATIONAL INC.,"208 CHURCH STREET DECATUR,",GA30030-3328 U.S.A.,TEL 404-7616900 FAX 404-7612999,E-MAIL ATTACHSTAR-TRACK.COM,,,,,,,
20180101455,LTL HOME PRODUCTS,"125 ROUTE 61, SCHUYLKILL HAVEN,","PA 17972, USA",TEL:570-3855470,,,,,,,,
20180101455,WORLD LOGISTICS USA INC.,"173 ROUTE 526, ALLENTOWN,","NJ 08501, USA",,,,,,,,,
20180101456,SDP ADVANCED POLYMER PRODUCTS INC,410 130 BRIDGELAND AVETORONTO,ONTARIO CANADA M6A 1Z4,TORONTO ONM6A 1Z4 CA,,,,,,,,
20180101459,"BARR DISPLAY COMPANY LLC,",DBA BARR DISPLAY,,3033 MERCY DRIVE,,ORLANDO,FL,32808,US,,Telephone Number,+18002222702
20180101459,"BARR DISPLAY COMPANY LLC,",DBA BARR DISPLAY,,3033 MERCY DRIVE,,ORLANDO,FL,32808,US,,Facsimile Number,+14072970494
20180101460,EXPEDITORS INTERNATIONAL OF WASHING,SUITE 310 2265 CLEMENTS FERRY ROAD,CHARLESTON SC 29492,UNITED STATES,,,,,,,Telephone Number,7444071 7444071
20180101463,WORLDBRIDGE LOGISTICS,22 CENTURY BLVD SUITE 510,NASHVILLE TN 37214 UNITED STATES,,,,,,,,,
20180101464,HW ST JOHN,292 NORTH CENTRAL AVE.,VALLEY STREAM NY 11580 US,,,,,,,,,
20180101465,"CEVA FREIGHT, LLC",1717 BUSSE ROAD,ELK GROVE VILLAGE IL 60007,UNITED STATES,,,,,,,Telephone Number,2503108 2503108
20180101466,MEADOWS WYE & CO INC,2506 FOREST AVENUE,,,,STATEN ISLAND,NY,10303,US,,,
20180101470,EXPEDITORS INTERNATIONAL OF WASHING,SUITE 2400 3101 YORKMONT ROAD,CHARLOTTE NC 28208,UNITED STATES,,,,,,,Telephone Number,3290508 3295386
20180101474,"BLUE OCEAN TRADERS,INC",1455 SOUTH 7TH STREET,LOUISVILLE KY 40208 US,LOUISVILLE KY40208 US,,,,,,,,
20180101475,STONE SHOWCASE INC,1785 ENTERPRISES DR STE B & C,BUFORD GA 30518,USA,,,,,,,,
20180101477,JP REYNOLDS COMPANY INC.,101 SE 21ST STREET,FORT LAUDERDALE FL 33316,USA,PHONE: +1 (954) 522-3763,,,,,,,
20180101478,JP REYNOLDS COMPANY INC.,101 SE 21ST STREET,FORT LAUDERDALE FL 33316,USA,PHONE: +1 (954) 522-3763,,,,,,,
20180101479,JP REYNOLDS COMPANY INC.,101 SE 21ST STREET,FORT LAUDERDALE FL 33316,USA,PHONE: +1 (954) 522-3763,,,,,,,
20180101480,JP REYNOLDS COMPANY INC.,101 SE 21ST STREET,FORT LAUDERDALE FL 33316,USA,PHONE: +1 (954) 522-3763,,,,,,,
20180101481,JP REYNOLDS COMPANY INC.,101 SE 21ST STREET,FORT LAUDERDALE FL 33316,USA,PHONE: +1 (954) 522-3763,,,,,,,
20180101482,FLUX MARINE INTERNATIONAL LTD.,TRIDENT CHAMBERS PO BOX 146,TORTOLA ROAD TOWN,"VIRGIN ISLANDS, BRITISH",,,,,,,,
20180101483,REFLECTING WATERS CORP.,"3411 SILVERSIDE ROAD, TATNALL BUILD",WILMINGTON DELAWARE 19810,USA,,,,,,,,
20180101484,ECHO MARINE VENTURES LLC,"3411 SILVERSIDE ROAD, RODNEY BUILDI",DE 19810 WILMINGTON,USA,,,,,,,,
20180101485,OLIVE DEVELOPMENTS LLC,760 MASTHA DRIVE KEY BISCAYNE,MIAMI FL 33149,USA,,,,,,,,
20180101486,SMOOTH SEAS INC.,"3411 SILVERSIDE ROAD, TATNALL BUILD",DELAWARE 19810 WILMINGTON,USA,,,,,,,,
20180101487,SWAN MARINE VENTURES LTD.,O'NEAL MARKETING ASSOCIATES BUILDIN,PO BOX 4493 ROAD TOWN TORTOLA,"VIRGIN ISLANDS, BRITISH",,,,,,,,
20180101488,THE GREATEST BOAT INC.,"3411 SILVERSIDE ROAD, TATNALL BUILD",DELAWARE 19810 WILMINGTON,USA,,,,,,,,
20180101489,HECNY TRANSPORTATION INC.,19550 S. DOMINGUEZ HILLS DR.,RANCHO DOMINGUEZ CA 90220 UNITED ST,,,,,,,,,
20180101491,JP REYNOLDS COMPANY INC.,101 SE 21ST STREET,FORT LAUDERDALE FL 33316,USA,PHONE: +1 (954) 522-3763,,,,,,,
20180101492,SEA CORP LLC,1413 20TH STREET,33139 FL MIAMI BEACH,USA,,,,,,,,
20180101493,"UNITED CARGO MANAGEMENT, INC.","878 WHIPPLE ROAD, SUITE 200","MT. PLEASANT, SC 29464",O: 843.856.1833,,1-8438561833 TEL,EX,1-843856,18,,,
20180101494,AIRLIFT (USA) INC,"988 SHOPPES BOULEVARD,","NORTH BRUNSWICK, NEW JERSEY, NJ 089","USA, TEL: 310 337 0700 FAX: 310 337",,1-7326500335 TEL,EX,1-732650,03,,,
20180101495,"JAS FORWARDING (USA), INC.",CHICAGO OFFICE,1759 LINNEMAN ROAD,"MOUNT PROSPECT, IL 60056",T +1 (847) 725-1000,,,,,,,
20180101496,LOTTE GLOBAL LOGISTICS (USA) INC.,11135 KNOTT AVE. SUITE E&F CYP,T:+1-714-373-8880 F:+1-714-373,,,CA 90630,CA,90630,US,,,
20180101497,GOLDSTAR GLOBAL LOGISTIC.LLC,"99 W.HAWTHORNE AVENUE SUITE 302,","VALLEY STREAM,NY 11580",TEL 516.561.2220,,,,,,,,
20180101498,EASTWAY LOGISTICS USA LLC,"21720 W. LONG GROVE ROAD, SUITE C-2",DEER PARK IL 60010 UNITED STATES,,,,,,,,,
20180101500,DSV AIR & SEA INC. - I902,5950 HAZELTINE NATIONAL DR,SUITE 690,ORLANDO FL 32822,UNITED STATESXXX,,,,,,,
20180101501,T.V.S GRANITE,15511 HWY 6,ROSHARON TX 77583 US,,,,,,,,,
20180101502,"UNITED CARGO MANAGEMENT,INC.","19401 SOUTH MAIN ST.,SUITE 202",TEL:310-225-3099 FAX:310-225-3,,,"GARDENA CA,90248",CA,90248,US,,,
20180101503,SAME AS CONSIGNEE,.,5742 S. SEMORAN BLVD ORLANDO FL 328,22 US,,,,,,,,
20180101504,LAX IMPORT BROKERAGE CRANE,WORLDWIDE TRADE SERVICES 2501,W . ROSEGRANS AVE COMPTON,CA 90059 PH:310-765-2300,,,,,,,,
20180101505,LAX IMPORT BROKERAGE CRANE,WORLDWIDE TRADE SERVICES 2501,W . ROSEGRANS AVE COMPTON,CA 90059 PH:310-765-2300,,,,,,,,
20180101506,LAX IMPORT BROKERAGE CRANE,WORLDWIDE TRADE SERVICES 2501,W . ROSEGRANS AVE COMPTON,CA 90059 PH:310-765-2300,,,,,,,,
20180101507,PANALPINA INC.-CHS BSC,"207 EAST BAY ST.CHARLESTON,SC 29401",MAIL ADDRESS:IMPORT.FCL-USA@,PANALPINA.COM.AS AGENTS FOR AND ON,,1-8435779982 TEL,EX,1-843577,43,,,
20180101508,DYNA LOGISTICS,19516 SUSANA ROAD,RANCHO DOMINGUEZ CA 90221 UNITED ST,,,,,,,,,
20180101509,IKEA DISTRIBUTION SERVICES INC.10,"IKEA WAY WESTAMPTON,NJ 08060 UNITED",STATES OF AMERICA ATTN:CUSTOMS,DEPARTMENT-LAURIE EVERILL IKEA2.,,1-6092611220 TEL,EX,1-609265,84,,,
20180101511,BLU LOGISTICS,BLU GREENSBORO- 1155-10 REVOLUTION,MILL DR- GREENSBORO NC VA 27405,UNITED STATES,,,,,,,,
20180101513,OZARK MATERIALS LLC,"552 OLIVER ROAD; MONTGOMERY, AL,",U.S.,MONTGOMERY AL,USA,,,,,,,
20180101514,OZARK MATERIALS LLC,"552 OLIVER ROAD; MONTGOMERY, AL,",U.S.,MONTGOMERY AL,USA,,,,,,,
20180101515,GABBY HOME,ATTN : WILLIAM WHITE,3140 PELHAM PARKWAY,"PELHAM, AL 35124 USA",,,,,,,,
20180101516,GABBY HOME,ATTN : WILLIAM WHITE,3140 PELHAM PARKWAY,"PELHAM, AL 35124 USA",,,,,,,,
20180101517,"HT CARGO USA , INC.","12387 LEWIS STREET, SUITE 102,","GARDEN GROVE, CA 92840 US",,,,,,,,,
20180101518,O.E.C. SHIPPING LOS ANGELES INC.,"13100 ALONDRA BLVD,SUITE 100","CERRITOS, CA 90703 TEL 562 926",7186 FAX 562 926 7183,CERRITOS CA,,,,,,,
20180101520,DHL GLOBAL FORWARDING (BRAZIL),"LTDA, CNPJ: 10.228.777/0001-61",CEP; 80240-2400 CURITIBA,,,BRAZIL,SP,04705-000,BR,,,
20180101521,HAN FENG INC.,6001-A WEST MARKET STREET,GREENSBORO NC UNITED STATES 27409,,,,,,,,,
20180101522,NATIONAL STONEWORKS LLC,3200 MERIDIAN PKWY,,,,WESTON,FL,33331,US,,Telephone Number,+19543491609
20180101523,"SHALOM INTERNATIONAL CORP.,","8 NICHOLAS COURT, SUITE B","DAYTON, NJ 08810",,,,,,,,,
20180101524,STARLINK FREIGHT SYSTEM SFO INC.,206 UTAH AVE,"SOUTH SAN FRANCISCO,CA 94080 UNITED",STATES,,,,,,,,
20180101526,LAGUNITAS BREWING COMPANY,1280 N MCDOWELL BLVD,"PETALUMA, CA 949954",USA,,,,,,,,
20180101528,TIRECO INC.,"500 W 190TH ST. GARDENA,CA 90248-42",65 TEL: (310) 767-7990 FAX: (310) 2,17-9267,,,,,,,,
20180101529,LAMU HWD LIVERMORE,5874 BRISA STREET,LIVERMORE CA 94550 USA,,,,,,,,,
20180101537,FORTUNA HARDWARE COMPANY,"417-B WEST FOOTHILL BLVD,SUITE 230","GLENDORA,CALIFORNIA 91741 USA",,,,,,,,,
20180101539,BOSCH SECURITY SYSTEM INC,140 CALIBER RIDGE DRIVE,"GREER, SOUTH CAROLINA 29651",,,GREER,SC,29651,US,,,
20180101540,DELMAR INTERNATIONAL INC.,10636 COTE DE LIESSE,"MONTREAL,QC H8T 1A5",TEL:514-6368800,FAX:514-6361212,,,,,,,
20180101542,"EXPEDITORS CANADA,INC.","6700 COTE DE LIESSE,SUITE 501",VILLE ST-LAURENT QUEBEC H4T 2B5,CANADA,,,,,,,,
20180101543,"EXPEDITORS CANADA,INC.","6700 COTE DE LIESSE,SUITE 501",VILLE ST-LAURENT QUEBEC H4T 2B5,CANADA,,,,,,,,
20180101544,"EXPEDITORS CANADA,INC.","6700 COTE DE LIESSE,SUITE 501",VILLE ST-LAURENT QUEBEC H4T 2B5,CANADA,,,,,,,,
20180101545,"EXPEDITORS CANADA,INC.","6700 COTE DE LIESSE,SUITE 501",VILLE ST-LAURENT QUEBEC H4T 2B5,CANADA,,,,,,,,
20180101546,SAME AS CONSIGNEE,TEL: 1 305 693 5133,FAX: 1 305 520 0322,,,,,,,,,
20180101547,MINK HAIR LTD.,71 RIVERVIEW DRIVE,,,,WAYNE,MI,07470,US,,,
20180101548,MINK HAIR LTD,71 RIVERVIEW DRIVE,,,,WAYNE,MI,07470,US,,,
20180101549,MINK HAIR LTD,71 RIVERVIEW DRIVE,,,,WAYNE,MI,07470,US,,,
20180101550,MINK HAIR LTD,71 RIVERVIEW DRIVE,,,,WAYNE,MI,07470,US,,,
20180101552,"WERNER GLOBAL LOGISTICS U.S., LLC",14507 FRONTIER ROAD,,USA,,OMAHA,NE,68138,US,,,
20180101553,PARKVIEW CUSTOMS BROKER,"BOX 39 NORWICH, ON N0J 1P0 CANADA",,,,,,,,,,
20180101556,I4 FURNITURE INC,"5 KIWANIS ST , ST. JOHN'S NF, ,",A1B 0A2 CANADA,,,,,,,,,
20180101559,BARSAN GLOBAL LOGISTICS INC.,17-09 ZINK PLACE UNIT #5,FAIR LAWN NJ 07410 / USA,OFFICE : 201 773 0730 EXT:217,MIA-IMPORT@BARSAN.COM,,,,,,,
20180101560,BARSAN GLOBAL LOGISTICS INC.,17-09 ZINK PLACE UNIT #5,FAIR LAWN NJ 07410 / USA,OFFICE : 201 773 0730 EXT:217,MIA-IMPORT@BARSAN.COM,,,,,,,
20180101561,DE WELL CONTAINER SHIPPING INC.,"5553 BANDINI BLVD, UNIT A",BELL CA 90201 UNITED STATES,,,,,,,,,
20180101562,ALDI INC USA,1200 N KIRK ROAD,BATAVIA IL 60510 US,,,,,,,,,
20180101563,SCHENKER INC,3644 WINCHESTER RD STE 105,MEMPHIS TN 38118 UNITED STATES,,,,,,,,,
20180101564,ACME FURNITURE ( MIAMI ) CORP.,9641 PREMIER PARKWAY MIRAMAR,"FL 33025 , USA",,,,,,,,,
20180101565,"UPS OCEAN FREIGHT SERVICES, INC",FMC 016871N 3400 NW 74TH AVE SUITE,5 6 MIAMI FL 33122 US,MIAMI FL,,,,,,,,
20180101566,"JOHN M. BRINING CO., INC",P. O. BOX 403 MOBILE AL UNITED,STATES 36601,,,,,,,,,
20180101567,"PANALPINA, INC.","207 E.BAY ST 2ND FL,STE 209 PO BOX",1838 CHARLESTON 29401 USA SOUTH,CAROLINA AS AGENT FOR AND ON BEHALF,,,,,,,Telephone Number,OF PANTAINER (H.K.) LTD.
20180101567,PANTAINER (H.K.) LIMITED,SCAC CODE PNEP,,,,,,,,,,
20180101568,HOMESTAR NORTH AMERICA,607 MEACHAM RD,,,,STATESVILLE,NC,28677,US,,,
20180101570,EXPEDITORS INTERNATIONAL OF WASHING,SUITE 2400 3101 YORKMONT ROAD,CHARLOTTE NC 28208,UNITED STATES,,,,,,,Telephone Number,3290508 3295386
20180101571,APEX MARITIME CO. INC.,206 UTAH AVE SOUTH SAN FRANCISCO CA,94080 UNITED STATES,,,,,,,,,
20180101572,ROUND HILL FURNITURE INC.,"3640 ZANE TRACE DRIVE, COLUMBUS,",OH 43228,,,,,,,,,
20180101573,BULLETLINE,6301 E 10TH AVE,,,,HIALEAH,FL,33013,US,,,
20180101575,O.C.S INDUSTRIES,2015 PITKIN AVENUE,BROOKLYN NY 11207,USA,,,,,,,,
20180101576,APEX MARITIME CO. INC.,206 UTAH AVE SOUTH SAN FRANCISCO CA,94080 UNITED STATES,,,,,,,,,
20180101579,OEC SHIPPING LOS ANGELES INC,13100 ALONDRA BLVD,"SUITE 100, CERRITOS CA 90703 USA",TEL:5629267186 FAX:5629267183,,,,,,,,
20180101580,STAR ASIA INTERNATIONAL INC,"208 CHURCH STRRET DECATUR,GA","30030-3328,USA TEL 404-7616900",FAX 404-7612999 E-MAIL ADDRESS,,,,,,,Telephone Number,ATTACH@STAR-TRACK.COM
20180101581,SAME AS CONSIGNEE,.,,,,1-9033341245,,,,,,
20180101583,CRANE WORLDWIDE LOGISTICS-DFW,"2022 MCKENZIE DRIVE, SUITE 120","CARROLLTON, TEXAS, USA 75006",PHNOE : (972) 428-5600,,1-9724285600 TEL,EX,1-972428,55,,,
20180101584,MS INTERNATIONAL INC,2095 N BATAVIA ST ORANGE,CA 92865 USA PH 714 685 7645,ATTN MR SEKAR,,,,,,,Telephone Number,714 685 7500
20180101585,UPS-SCS,1930 DERRY ROAD,"MISSISSAUGA,",MISSISSAUGA ON L5S 1E2 CA,,,,,,,,
20180101586,INTERPORT GLOBAL LOGISTICS USA INC,17 COTTERS LANE EAST BRUNSWICK NJ 0,8816 - U.S.A. TEL.=(732) 422-3870/7,3/74 FAX.=(732) 422-3878 ]]],.,,,,,,,
20180101587,PYRAMID LINES,1717 BUSSE ROAD,ELK GROVE VILLAGE IL 60007,UNITED STATES,,,,,,,Telephone Number,2503101
20180101588,SEA WAY INTERNATIONAL INCORPORATION,"16 W 32ND ST., SUITE 301",NEW YORK NY,UNITED STATES,,,,,,,,
20180101589,"APEX MARITIME CO., INC.",206 UTAH AVE,"SOUTH SAN FRANCISCO,CA 94080,US",T:+ 650 5892575,F:+ 650 5898861,,,,,,,
20180101590,"CHINA INTERNATIONAL FREIGHT CO.,",LTD,"10F., NO. 139 NANKING E RD.,","SEC. 2, TAIPEI, TAIWAN",,,,,,,,
20180101592,OK CONTAINER SALES INC.,2707 E. VALLEY BLVD. STE305,WEST COVINA CA 91792,TEL1-626-912-5788,,,,,,,Telephone Number,FAX1-626-912-6188
20180101593,MS INTERNATIONAL INC,2095 N BATAVIA ST ORANGE,CA 92865 USA PH 714 685 7645,ATTN MR SEKAR,,,,,,,Telephone Number,714 685 7500
20180101594,JAS FORWARDING (USA) INC,"3101 YORKMONT RD.,STE.200","CHARLOTTE,NC 28208",TEL:704-357-1230,,1-7043571230 TEL,EX,1-704357,13,,,
20180101596,US PACIFIC TRANSPORT INC,"36-36 MAIN STREET, 6/FLOOR UNIT 6R",FLUSHING/QUEENS NY 11354 UNITED STA,,,,,,,,,
20180101597,US PACIFIC TRANSPORT INC,"36-36 MAIN STREET, 6/FLOOR UNIT 6R",FLUSHING/QUEENS NY 11354 UNITED STA,,,,,,,,,
20180101599,O T S ASTRACON LLC,"3115 BEAM ROAD CHARLOTTE, NC 28217",TEL 1-704-4245522,FAX 1-704-4245622,,,,,,,,
