identifier,consignee_name,consignee_address_1,consignee_address_2,consignee_address_3,consignee_address_4,city,state_province,zip_code,country_code,contact_name,comm_number_qualifier,comm_number
20180101202,BARSAN GLOBAL LOGISTICS INC,17-09 ZINK PLACE SUITE#5 FAIR LAWN,NJ 07410 USA,TEL :+1 201 773 0730,FAX :+1 201 773 0731,,,,,,,
20180101203,"APEX MARITIME CO.,(LAX) INC.",.,"565 BREA CANYON RD., SUITE D WALNUT",CA 91789 US,,,,,,,,
20180101204,DHL GLOBAL FORWARDING,SUITE 520 5955 CORE ROAD,NORTH CHARLESTON SC 29406,UNITED STATES,,,,,,,Telephone Number,7603452 7603452
20180101205,GATES CORPORATION,2700 EARAHART COURT,5887 DENVER CO,HEBRON KY 41048,USA,,,,,,,
20180101206,GATES CORPORATION,2700 EARAHART COURT,5887 DENVER CO,HEBRON KY 41048,USA,,,,,,,
20180101207,DERNIS INTL MARKETING CO.,2600 RELIANCE DRIVE,"VIRGINIA BEACH, VIRGINIA 23452 USA",VIRGINIA BEACH VA,USA,,,,,,,
20180101208,TO THE ORDER OF,JS BANK LIMITED,"KARACHI, PAKISTAN",,,,,,,,,
20180101209,TO THE ORDER OF,JS BANK LIMITED,"KARACHI, PAKISTAN",,,,,,,,,
20180101210,NMT INTERNATIONAL SHIPPING DUBAI LL,"THE PALLADIUM, UNIT #1004, 10TH FLO",OR,"JUMEIRAH LAKES TOWERS, DUBAI",,,,,,,Telephone Number,UNITED ARAB EMIRATES
20180101211,NMT INTERNATIONAL SHIPPING DUBAI LL,"THE PALLADIUM, UNIT #1004, 10TH FLO",OR,"JUMEIRAH LAKE TOWERS, DUBAI",,,,,,,Telephone Number,UNITED ARAB EMIRATES
20180101212,KUWAIT COMMERCIAL AGENCY COMPANY,FOR HALLIBURTON OVERSEAS LIMITED,"WAREHOUSE NO. 1,",KGL WAREHOUSE FACILITY,,,,,,,,
20180101214,DYSTAR L. P.,9844-A SOUTHERN PINE BLVD.CHARLOTTE,,,,NORTH CAROLINA,,,US,,,
20180101215,EMPIRE STONES GROUP CORP,2543 CRYSTAL DR.,FORT MYERS FL 33966,USA,,,,,,,,
20180101216,EMPIRE STONES GROUP CORP,2543 CRYSTAL DR.,FORT MYERS FL 33966,USA,,,,,,,,
20180101217,EMPIRE STONES GROUP CORP,2543 CRYSTAL DR.,FORT MYERS FL 33966,USA,,,,,,,,
20180101218,"OLD WORLD COBBLE, LLC","6 COLLETTI LANE, SWANSEA,","MA 02777, USA",SWANSEA MA 02777,USA,,,,,,,
20180101219,GIC ENGINEERING INC,2431 DESTINY WAYODESSA FL 33556,,,,,,,,,,
20180101220,ONIX ELECTRONICS LLC,9631 PREMIER PKWY,,,,MIRAMAR,FL,33025,US,,,
20180101222,"GENERAL WORK PRODUCTS, INC.",4912 MEHURIN STREET,"JEFFERSON, LA 70121, U. S . A.",70121,,,,,,,,
20180101223,TOPOCEAN CONSOLIDATION SERVICE (LAX,2727 WORKMAN MILL ROAD,CITY OF INDUSTRY CA 90601 UNITED ST,,,,,,,,,
20180101224,"UPS OCEAN FREIGHT SERVICES, INC.",FMC #016871N,3400 NW 74TH AVE SUITE 5 & 6,MIAMI FL 33122 US,PHONE: 305-420-2500,,,,,,,
20180101226,MU HOLDINGS INC DBA MARBLE UNIQUES,815 WEST JEFFERSON ST,TIPTON IN 46072 US,,,,,,,,,
20180101227,TRANSMARINE NAVIGATION CORPORATION,1270 SPRINGBROOK ROAD SUITE D,WALNUT CREEK CA 94597,,,,,,,,,
20180101229,BLUE PLANET INC NJ,959 BETHEL AVE,PENNSAUKEN NJ 08816 US,,,,,,,,,
20180101230,KUEHNE + NAGEL LTD (TRINIDAD),1ST FLOOR PORT ADMINSTRATION?BUILDI,,,,PORT OF SPAIN,,,TT,,,
20180101232,"TRANSINDO USA, INC.","355 SOUTH LEMON AVENUE, SUITE E","WALNUT, CA 91789",USA,,,,,,,,
20180101234,ALLIED FITTING L.P.,7200 MYKAWA ROAD,HOUSTON TX 77033 US,,,,,,,,,
20180101235,RESTAURANT DEPOT LLC.,1524 132ND STREET COLLEGE POINT,"NEW YORK 11356,U.S.A",,,,,,,,,
20180101236,"NAPA FURNITURE DESIGNS, INC",170 TUNNEL ROAD,VERNON CT USA 06066,,,,,,,,,
20180101237,STAR STAINLESS SCREW CO.,"30 WEST END ROAD., P.O. 288","TOTOWA, NJ 07511",,,,,,,,,
20180101238,BLUE PLANET INC,959 BETHEL AVE PENNSAUKEN,PENNSAUKEN NJ 08110 US,,,,,,,,,
20180101239,MAERSK INC,MAERSK INC,"180 PARK AVE,BUILDING 105","PO BOX 950,FLORHAM PARK, NJ 07932",,,,,,,,
20180101240,"POLYPLASTICS USA, INC","27240 HAGGARTY ROAD, SUITE E-20","FARMINGTON HILLS, MI 48331",,,FARMINGTON,MI,48331,US,,,
20180101243,PANDA KITCHEN AND BATH EXPO CENTER,6607 N DALE MABRY HIGHWAY TAMPA,FL UNITED STATES 33614,,,,,,,,,
20180101244,ALLIED FITTING L.P.,7200 MYKAWA ROAD,HOUSTON TX 77033 US,,,,,,,,,
20180101245,LEATHER GROUP INC,12106 NE AINSWORTH CIRCLE,PORTLAND OR,0,,USA,OR,97220,US,,,
20180101246,ALLIED FITTING L.P.,7200 MYKAWA ROAD,HOUSTON TX 77033 US,,,,,,,,,
20180101248,NSOLO CONSULTING GROUP,3400 NE 192ND STREET SUITE 210,"AVENTURA, FL 33180 US",,,,,,,,,
20180101251,EXPEDITORS INTL OF WA INC,18255 HUMBLE PARKWAY,HUMBLE TX 77338,U.S.A.,,1-2819132900 TEL,EX,1-281913,28,,,
20180101252,"EVERGREEN FOREST PRODUCTS, INC",578 SOUND AVE,WADING RIVER NY 11792 US,,,,,,,,,
20180101253,"PNL LOGISTICS, INC.",SUITE 170 400 SOUTH ATLANTIC BOULEV,MONTEREY PARK CA 91754,UNITED STATES,,,,,,,Telephone Number,6568189 6568189
20180101254,"PNL LOGISTICS, INC.",SUITE 170 400 SOUTH ATLANTIC BOULEV,MONTEREY PARK CA 91754,UNITED STATES,,,,,,,Telephone Number,6568189 6568189
20180101255,PUDONG PRIME INTERNATIONAL LOGISTIC,"9660 FLAIR DRIVE, SUITE 488",EL MONTE CA 91731 UNITED STATES,,,,,,,,,
20180101256,ENCORE SHIPPING INC,125 E LAKE ST SUITE 204,BLOOMINGDALE IL 60108,PH 630 893 8700 FAX 630 893 8787,,,,,,,,
20180101257,ABH GROUP LLC,8228 CYPRESS LAKE DRIVE,SARASOTA FL 34243,USA,,,,,,,,
20180101258,"FLAGSTONE FOODS, INC","380 ST. PETER STREET, SUITE 1000","ST. PAUL,MN,55102,US",,,,,,,,,
20180101260,ACME FURNITURE INDUSTRY INC.,"18895 E. ARENTH AVE., CITY OF","INDUSTRY, CA 91748 U.S.A.",,,,,,,,,
20180101261,TRANSINDO USA INC,"355 SOUTH LEMON AVENUE, SUITE E","WALNUT, CA 91789 PHONE : (909) 444-",0499 FAX : (909) 444-0509,,,,,,,,
20180101262,OEC SHIPPING LOS ANGELES INC,"13100 ALONDRA BLVD, SUITE 100",CERRITOS CA 90703,UNITED STATES,,,,,,,Telephone Number,EMAIL: ALL.LAX OECGROUP.COM
20180101263,KROMET ENGINEERED PRODUCTS INC.,"415 WATERMAN ST SE MARIETTA,","GA,30060 USA",,,,,,,,,
20180101265,NATIONAL NAIL CORP.,2964 CLYDON SW,,,,GRAND RAPIDS,MI,49519,US,,,
20180101266,OEC SHIPPING LOS ANGELES INC,"13100 ALONDRA BLVD, SUITE 100",CERRITOS CA 90703,UNITED STATES,,,,,,,Telephone Number,EMAIL: ALL.LAX OECGROUP.COM
20180101267,PRIME RESOURCES CORPORATION,"1100 BOSTON AVE BRIDGEPORT, CT 0661",0 USA.,BRIDGEPORT CT 06610,USA,,,,,,,
20180101268,PRIME RESOURCES CORP,"1100 BOSTON AVE SUITE 4, BRIDGEPORT",", CT 06610 USA",BRIDGEPORT CT 06610,USA,,,,,,,
20180101269,GEXPRO SERVICES,1000 BRIDGEPORT AVENUE,,,,SHELTON,CT,06484,US,,,
20180101270,GEXPRO SERVICES,1000 BRIDGEPORT AVENUE,,,,SHELTON,CT,06484,US,,,
20180101271,DELTA POWER EQUIPMENT,"1924 PEARMAM DAIRY ROAD, SUITE D",ANDERSON SC 29626 US,,,,,,,,,
20180101272,GEXPRO SERVICES,1000 BRIDGEPORT AVENUE,,,,SHELTON,CT,06484,US,,,
20180101273,GEXPRO SERVICES,1000 BRIDGEPORT AVENUE,,,,SHELTON,CT,06484,US,,,
20180101274,"PEGASUS INTERNATIONAL, INC. (NVOCC)","1100 JORIE BLVD, SUITE 240",OAK BROOK IL 60523 UNITED STATES,,,,,,,,,
20180101275,BNS SHIPPING INC.,.,179-22 149TH ROAD JAMAICA NY 11434,US,,,,,,,,
20180101276,"BULLET LINE,LLC","6301 E 10TH AVE,",,,,HIALEAH,FL,33013,US,,,
20180101277,"BDP TRANSPORT, INC","510 WALNUT STREET PHILADELPHIA,",PA19106 TEL:215 629 8900 FAX:215,629 8940,,,,,,,,
20180101278,AMERICAN CARGO EXPRESS INC. -,ATLANTA,"170 PENNEY ROAD, SUITE A","FOREST PARK, GA 30297",TEL:404 684 0000 FAX:404-684 0021,,,,,,,
20180101279,TO ORDER ETG COMMODITIES INC,6220 SHAWSON DR,L5T 1J8 MISSISSAUGA,CANADA,,20-122130598 TEL,EX,20-54280,83,,,
20180101280,MENEX D.O.O.,TRG DESPOTA STEFANA 24,KRUSEVAC-SERBIA,VAT 100323079,,381-951999161,,,,,,
20180101282,DYNA LOGISTICS,19516 SUSANA ROAD,RANCHO DOMINGUEZ CA 90221 UNITED ST,,,,,,,,,
20180101283,C&A HOME IMPROVEMENT INC.,"10 WOORUFF OAKS LN, GREENVILLE SC",29607 UNITED STATES,,,,,,,,,
20180101284,"BADCOCK ECONOMY FURNITURE STORES,",INC 3931 RCA BLVD SUITE 3122,PALM BEACH GARDENS FL 33410 USA,,,,,,,,,
20180101285,MOUNTAIN GROUP INC,6600 HIGH RIDGE RD,BOYNTON BEACH FL 33426,,,,,,,,,
20180101286,DAVID FRANCIS FURNITURE,3990 US HIGHWAY 1,,,,VERO BEACH,FL,32960,US,,Telephone Number,+18889055678
20180101287,ATOSA CATERING EQUIPMENT INC-FL,"9201 KING PALM DRIVE,SUITE ATAMPA,",FLORIDA 33619,,,,,,,,,
20180101288,HIGH LINER FOODS INC.,1 HIGH LINER AVENUE,"PORTSMOUTH,NH 03801,US",,,,,,,,,
20180101289,THE SAFETY ZONE LLC,385 LONG HILL ROAD,"GUILFORD CT,06437 USA",,,,,,,,,
20180101290,HIGH LINER FOODS INC.,1 HIGH LINER AVENUE,"PORTSMOUTH,NH 03801,US",,,,,,,,,
20180101291,"TRANSINDO USA, INC.","355 SOUTH LEMON AVENUE, SUITE E","WALNUT, CA 91789",USA,,,,,,,,
20180101292,MASTER HALCO INC,3010 LBJ FWY,"SUITE 800 DALLAS, TX 75234",,,,,,,,,
20180101293,"TRANSINDO USA, INC.","355 SOUTH LEMON AVENUE, SUITE E","WALNUT, CA 91789",USA,,,,,,,,
20180101294,MASTER PRODUCTS CORP,CARRETERA NO.2 KM 20.6 BARRIO,CANDELARIO TOA BAJA PR 00949,,,PUERTO RICO,,,US,,,
20180101296,THE SAFETY ZONE LLC,385 LONG HILL RD,"GUILFORD, CT 06437",,,,,,,,,
20180101297,AVANTI PRODUCTS,"10880 NW 30TH STREET, MIAMI, FL","33172, USA","ATTN: GISELLE DRESDA, PHONE (305)",592-7830,,,,,,,
20180101298,TA CHEN INTERNATIONAL INC.,"5855 OBISPO AVENUE LONG BEACH, CA 9","LONG BEACH,CA,90805,US",,,,,,,,,
20180101299,"UNIVERSAL SHIPPING, INC.",10395 NOBEL COURT,JURUPA VALLEY CA 91752,UNITED STATES,,,,,,,Telephone Number,6282226 6282221
20180101300,SUPERIOR SUSTAINABILITY,"P.O.BOX 9601 DEERIELD BEACH,FL3344",2 9601 USA,,,,,,,,,
20180101301,FASTGROW LOGISTICS AMERICA INC.,17870 CASTLETON ST. SUITE 338,INDUSTRY PA 91748 UNITED STATES,,,,,,,,,
20180101302,"CENTRANS MARINE SHIPPING, INC.","6161 SAVOY DR, SUITE 300",HOUSTON TX 77036 UNITED STATES,,,,,,,,,
20180101303,TOPOCEAN CONSOLIDATION SERVICE (LAX,2727 WORKMAN MILL ROAD,CITY OF INDUSTRY CA 90601 UNITED ST,,,,,,,,,
20180101304,HORTISOL USA CORP DBA CANNA CONTINE,11400 W OLYMPIC BLVD,,,,LOS ANGELES,CA,90064,US,,,
20180101305,MEDIMEXICO S DE R L DE C V,AV VALLE IMPERIAL 10523,22180 TIJUANA,0,,MEXICO,,22180,MX,,,
20180101306,FURNITURE CREATRIONS INC.,7426 CHERRY AVE SUITE 210 PMB 509,"FONTANA,CA,92336,US",,,,,,,,,
20180101307,"CHEMLAND INTERNATIONAL,INC.",7457 HARWIN DR.SUITE#300 HOUSTON,TEXAS 77036 USA,,,,,,,,,
20180101308,"CHEMLAND INTERNATIONAL,INC.",7457 HARWIN DR.SUITE#300 HOUSTON,TEXAS 77036 USA,,,,,,,,,
20180101309,STARLINK FREIGHT SYSTEM SFO INC,"206 UTAH AVE SOUTH SAN FRANCISCO,",CA 94080,ATTN STARLINK OID VINH TRAN,,,,,,,Telephone Number,EMAIL STARLINKOID@APEXSHIPPING. #
20180101310,DUNLAP & KYLE CO INC,280 EUREKA STREET BATESVILLE,MS 38606,,,,,,,,,
20180101311,DUNLAP & KYLE CO INC,280 EUREKA STREET BATESVILLE,MS 38606,,,,,,,,,
20180101312,HECNY TRANSPORTATION INC (LAX),"19550 S. DOMINGUEZ HILLS DRIVE,","RANCHO DOMINGUEZ, CA 90220.",TEL: 562-616-7888 FAX: 562-616-7895,,,,,,,Telephone Number,LAX`DCENTER HECNYUSA.COM
20180101313,BRILLIANT GROUP LOGISTICS CORP.,159 N.CENTRAL AVENUE,"VALLEY STREAM, NY 11580",T:516-599-2406 - F:516-599-0528,ATTN : MR. JIMMY YU,,,,,,,
20180101314,ORIENT EXPRESS CONTAINER CO LTD,"133-33 BROOKVILLE BLVD, SUITE 306",ROSEDALE NY 11422 UNITED STATES,,,,,,,,,
20180101315,STONE CENTER INC,1325 OAKBOARD DRIVE SUITE C,NORCROSS GA 30093,USA,,,,,,,,
20180101316,PKD LOGISTICS,"5604 WENDY BAGWELL PARKWAY,","SUITE NO 223 HIRAM,GEORGIA-30141",TEL 6789674444 FAX 7706357621,,,,,,,,
20180101317,PKD LOGISTICS,"5604 WENDY BAGWELL PARKWAY,","SUITE NO 223 HIRAM,GEORGIA-30141",TEL 6789674444 FAX 7706357621,,,,,,,,
20180101318,NUTRIFRESH WEST LTD,"7503, 35TH STREET, BAY 11",CALGARY AB T2C 1V3,CANADA,,,,,,,,
20180101319,EASY STONES,5965 PEACHTREE CORNERS EAST,SUITE A5,"NORCROSS, GA 30071 US",,,,,,,,
20180101320,NEW PRIDE CORPORATION,"2757 EAST DEL AMO BLVD., SUITE 705","RANCHO DOMINGUEZ, CA 90221",USA TEL: (310) 631-7000,JEANIE YOO,,,,,,,
20180101321,NEW PRIDE CORPORATION,"2757 EAST DEL AMO BLVD., SUITE 705","RANCHO DOMINGUEZ, CA 90221",USA TEL: (310) 631-7000,JEANIE YOO,,,,,,,
20180101323,K & M TIRE,965 SPENCERVILLE RD,DELPHOS OH 45833US,DELPHOS OH45833 US,,,,,,,,
20180101324,JK INTERNATIONAL INC.,SUITE 201 6750 LENOX CENTER COURT,MEMPHIS TN 38115,UNITED STATES,,,,,,,Telephone Number,7263229
20180101325,JK INTERNATIONAL INC.,SUITE 201 6750 LENOX CENTER COURT,MEMPHIS TN 38115,UNITED STATES,,,,,,,Telephone Number,7263229
20180101327,ALLIED FITTING L.P.,7200 MYKAWA ROAD,HOUSTON TX 77033 US,,,,,,,,,
20180101328,HORTISOL USA CORP DBA CANNA CONTINE,11400 W OLYMPIC BLVD,,,,LOS ANGELES,CA,90064,US,,,
20180101329,ALLIED FITTING L.P.,7200 MYKAWA ROAD,HOUSTON TX 77033 US,,,,,,,,,
20180101330,DJS INTERNATIONAL FREIGHT,FORWARDERS,"4215 GATEWAY DRIVE, SUITE-100",COLLEYVILLE TX 76034,EMAIL JR.GUAJARDODJSINTL.COM,,,,,,,
20180101331,"RADIUS INTERNATIONAL,INC","150 EASTERN AVE SUITE 250 CHELSEA,",MA 02150 USA TAX ID 26-0176739,ATTN TAYLOR MARTON,T 1-617-561-1300F 1-617-561-0425,,,,,,,
20180101332,TRW AUTOMOTIVE WORLD HEADQUARTERS,12001 TECH CENTER DRIVE,,,,LIVONIA,MI,48150,US,,Telephone Number,+17348552600
20180101333,FORMATION STONE,1991 FAIRWAY DRIVE,"SAN LEANDRO, CA 94577 US",,,,,,,,,
20180101335,UNTO THE ORDER OF BANK ALFALAH LIM,"GULSHAN BRACH,168 GULSHAN AVENUE,","DHAKA-1212,BANGLADESH",DHAKA,,,,,,,,
20180101336,PAPELERA SAN RAFAEL D.L. SA DE CV,CAMELIA NO.2017 COL.LEON DE LOS ALD,AMAS CENTRO COL,"LEO, GUANAJUATO C P 3700 MX",,,,,,,,
20180101337,FASTGROW LOGISTICS AMERICA INC.,17870 CASTLETON ST. SUITE 338,INDUSTRY PA 91748 UNITED STATES,,,,,,,,,
20180101338,DAHNAY LOGISTICS USA INC,"#1 CRAGWOOD ROAD, SUITE 305A,","SOUTH PLAINFIELD,NJ-07080,USA",TEL 908-315-1500,,,,,,,Telephone Number,USA.OPS@DAHNAYLOGISTICS.COM
20180101339,TUBE AND SOLIID TIIRE LTD,"5100 KAEPA COURT,,","SAN ANTONIIO,, TX 78218",US,,,,,,,,
20180101340,EXPEDITORS INTL OF WA INC,506 E. DALLAS RD,SUITE 400,GRAPEVINE TX 76051,,1-8173054000 TEL,EX,1-817421,10,,,
20180101341,BLUESTEM BRANDS INC,7075 FLYING CLOUD DRIVE EDEN,,,,PRAIRIE,MN,55344,US,0000,Telephone Number,0000
20180101344,JAS FORWARDING (USA) INC,"4900 ST JOE BOULEVARD, BUILDING",100SUITE 400,COLLEGE PARK GA 30337,,1-4049426200 TEL,EX,1-404942,62,,,
20180101345,TO THE ORDER OF,BANK AL-HABIB LTD.,NORTH KARACHI INDUSTRIAL AREA BRANC,FORM E NO: AHB-2017-0000099462,,1-4057871982 TEL,EX,1-405787,13,,,
20180101346,MICAL SEAFOOD INC,10400 GRIFFIN RD,"COOPER CITY,FL 33328-3322",ATTN: MR.ALEX BOUMER,TEL NO: +1 954 935 0133,,,,,,,
20180101347,"TRANSINDO USA, INC.","355 SOUTH LEMON AVENUE, SUITE E","WALNUT, CA 91789",USA,,,,,,,,
20180101348,WORKSMAN TRADING CORPORATION,94-15 100TH STREET,,"OZONE PARK, NY, 11416",,OZONE PARK,NY,11416,US,,,
20180101349,OEC SHIPPING LOS ANGELES INC,"13100 ALONDRA BLVD, SUITE 100",CERRITOS CA 90703,UNITED STATES,,,,,,,Telephone Number,EMAIL: ALL.LAX OECGROUP.COM
20180101350,NADEAU CORPORATION,1633 STANFORD ST.,SANTA MONICA CA 90404,USA,,,,,,,,
20180101351,VASINEE FOOD CORPORATION,"1247 GRAND STREET,",BROOKLYN,"NY,11211,US",,,,,,,,
20180101352,PANACHE HOME INC,911 OAK TREE AVENUE,SOUTH PLAINFIELD NJ 07080,USA,,,,,,,,
20180101353,ATOSA CATERING EQUIPMENT INC-FL,"9201 KING PALM DRIVE,SUITE ATAMPA,",FLORIDA 33619,,,,,,,,,
20180101354,"SERCK SERVICES, INC",5569 PEARL ST,DENVER CO 80216 US,,,,,,,,,
20180101355,HOMELEGANCE BY S&A IMPORTS,"10999 ROCKET BLVD., ORLANDO FL",UNITED STATES 32824,,,,,,,,,
20180101357,TOPOCEAN CONSOLIDATION SERVICE (LAX,2727 WORKMAN MILL ROAD,CITY OF INDUSTRY CA 90601 UNITED ST,,,,,,,,,
20180101358,"SINO PACIFIC CUSTOMS BROKERAGE, INC",SUITE 2C 170 DUANE STREET,NEW YORK NY 10013,UNITED STATES,,,,,,,Telephone Number,9253886 9255404
20180101359,"WERNER GLOBAL LOGISTICS U.S., LLC",14507 FRONTIER ROAD OMAHA,NE 68138 US KAYLEE CORNICK,TEL:402-895-6640 EXT.2281 FAX:,402-894-3760. KCORNICK@WERNER.COM,,,,,,,
20180101360,KION NORTH AMERICA CORPORATION,2450 WEST 5TH NORTH STREET,SUMMERVILLE USA,SC 29483 US,,,,,,,,
20180101361,"LMD LOGISTICS, INC. DBA VANDEGRIFT","100 WALNUT AVE., SUITE 600",CLARK NJ,UNITED STATES,,,,,,,Telephone Number,9159895 9159895
20180101362,"APEX MARITIME CO., INC.",.,206 UTAH AVE SOUTH SAN FRANCISCO CA,94080 US,,,,,,,,
20180101363,LINGLONG AMERICAS INC.,1484 MEDINA ROAD SUITE 118,"OHIO,MEDINA,44256,US",,,,,,,,,
20180101364,"JEAN DUNCAN CUSTOM BROKERS, INC",510 PLAZA DRIVE SUITE 1200,PO BOX 20696/ ATLANTA AIRPORT,"ATLANTA, GA 30320",CONTACT ELLEN CHANCE,,,,,,,
20180101365,AMERICAN GLOBAL LOGISTICS LLC,3399 PEACHTREE ROAD NE,"SUITE 1130 ATLANTA, GA 30326 USA",TEL : 866-285-9610 FAX : 678-298-83,,1-8662859610 TEL,EX,1-678298,83,,,
20180101366,EXPEDITORS INTL OF WA INC,506 E. DALLAS RD,SUITE 400,GRAPEVINE TX 76051,,1-8173054000 TEL,EX,1-817421,10,,,
20180101367,AMERICAN OMNI TRADING,15354 PARK ROW,"HOUSTON,TX 77084 USA",,,,,,,,,
20180101369,EXPEDITORS INTERNATIONAL OF WASHING,300 TRADEPORT DRIVE,ATLANTA GA 30354,UNITED STATES,,,,,,,Telephone Number,9945154 9945154
20180101370,GE LIGHTING,1520 LAUDERDALE MEMORIAL,HIGHWAY N.W.,"CHARLESTON, TN",,,,,,,,
20180101371,"MICHELIN NORTH AMERICA, INC",ONE PARKWAY SOUTH,"GREENVILLE, SC 29602 - 9001, USA",TEL 864 458 6037 FAX 864 458 5531,,,,,,,Telephone Number,EMAIL DIANA.MABRY@US.MICHELIN.COM
20180101372,TBC CORP,4300 TCB WAY,"PALM BEACH GARDENS, FL 33410",,,,,,,,,
20180101373,"MICHELIN NORTH AMERICA, INC",ONE PARKWAY SOUTH,"GREENVILLE, SC 29602 - 9001, USA",TEL 864 458 6037 FAX 864 458 5531,,,,,,,Telephone Number,EMAIL DIANA.MABRY@US.MICHELIN.COM
20180101374,"MICHELIN NORTH AMERICA, INC",ONE PARKWAY SOUTH,"GREENVILLE, SC 29602 - 9001, USA",TEL 864 458 6037 FAX 864 458 5531,,,,,,,Telephone Number,EMAIL DIANA.MABRY@US.MICHELIN.COM
20180101375,DNA MOTORING,801 SENTOUS AVENUE,CITY OF INDUSTRY CA 91748,UNITED STATES,,,,,,,Telephone Number,9658898
20180101376,CENTROTRADE MINERALS AND METALS,DBA CENTROTRADE RUBBER,1317 EXECUTIVE BLVD SUITE 120,CHESAPEAKE VA 23320,CHESAPEAKE VA 23320 US,,,,,,,
20180101378,NORTHERN TOOL AND EQUIPMENT,COMPANY INC.,"1850 BANKS ROAD FORT MILL,",SOUTH CAROLINA 29715,TEL: 803-802-4169,,,,,,,
20180101380,"BRIGGS PLUMBING PRODUCTS, LLC",597 OLD MT.HOLLY ROAD SUITE 201,"GOOSE CREEK, SC 29445",TEL: +886-4-24268888,FAX:+886-4-24268899,,,,,,,
20180101383,"NORCA INDUSTRIAL COMPANY, LLC","ONE HOLLOW LANE, SUITE 200,","LAKE SUCCESS, NY 11042, USA",,,,,,,,,
20180101384,ENCORE SHIPPING INC,125 E LAKE ST SUITE 204,BLOOMINGDALE IL 60108,PH 630 893 8700 FAX 630 893 878787,,,,,,,,
20180101385,WARREN ALLOY VALVE & FITTING CO LP,4750 KINGSTON STREET,ALLIED FITTING L.P,DENVER CO 80239,USA,,,,,,,
20180101388,STONE SHOWCASE INC,1785 ENTERPRISES DR STE B & C,BUFORD GA 30518,USA,,,,,,,,
20180101389,PKD LOGISTICS,"5604 WENDY BAGWELL PARKWAY,","SUITE NO 223 HIRAM,GEORGIA-30141",TEL 6789674444 FAX 7706357621,,,,,,,,
20180101390,CESCO INC,7251 CROSS COUNTY RD,,,,NORTH CHARLESTON,SC,29418,US,,Telephone Number,+18437603000
20180101393,CV INTERNATIONAL INC.,1128 WEST OLNEY ROAD,"NORFOLK, VA 23507",TEL: 757-466-1170 FAX: 757-466-1823,,,,,,,,
20180101394,HECNY TRANSPORTATION INC.,19550 S. DOMINGUEZ HILLS DR.,RANCHO DOMINGUEZ CA 90220 UNITED ST,,,,,,,,,
20180101396,GARY STANNER SALES INC,147 WEST 35TH STREET ROOM # 206,NEW YORK NY 10011 USA,,,,,,,,,
20180101397,LANDEN STRAPPING CORPORATION,"640 S. 6TH AVENUE HOPEWELL,",VA 23860 USA,,,,,,,,,
20180101398,KISWIRE TRADING INC.,3890 STEVE REYNOLDS BLVD.,NORCROSS GA 30093,USA,,,,,,,,
20180101399,"PUBLIX SUPER MARKETS, INC",3300 PUBLIX CORPORATE PARKWAY,"LAKELAND, FLORIDA, 33811",UNITED STATES,USA,,,,,,,
20180101400,"MCL-MULTI CONTAINER LINE, INC D.B.A",CARGOLINE,"2711 CENTERVILLE ROAD, STE 300,","PMB 335 WILMINGTON, DE - 19808 UNIT",TEL_ 786-280-0447 FAX_ 305-263-2332,,,,,,,
20180101401,TRANSPAC USA INC.,1515 WOODFIELD ROAD,SUITE 340,SCHAUMBURG IL 60173,USA,,,,,,,
20180101402,SLABCO INT'L MARBLE & GRANITE INC,1821 LEXINGTON HIGHWAY,ELBERTON GA 30635,USA,,,,,,,,
20180101403,NEWLIFE MAGNETICS LLC,3440,NORTH BEND CIRCLE,TENNESSEE 37701,USA,,,,,,,
20180101409,CCTF CORPORATION,5407-53 RD AVENUE NW,EDMONTON AB T6B 3G2,CANADA,,,,,,,,
20180101410,NFI GLOBAL,"1515 BURNT MILL RD CHERRY HILL, NJ",08003 USA TEL: 856-470-7804 E-MAIL:,ARRIVALS NFIINDUSTRIES.COM,,,,,,,,
20180101411,HOME FURNITURE CO. OF LAFAYETTE INC,C/O CROWN MARK INC,10881 S. SAM HOUSTON PARKWAY W.,"HOUSTON, TX 77031",,,,,,,Telephone Number,CONTACT: ANGELA MA AT CROWN MARK
20180101412,PANALPINA INC.-BSC CHARLESTON,"207 EAST BAY ST.,SUITE 209","CHARLESTON,SC 29401",AS AGENT FOR AND ON BEHALF OF,,,,,,,Telephone Number,PANTAINER(HK) LTD.
20180101415,"""UNTO ORDER"" PNC BANK NA, 2 TOWER","CENTRE BLVD., 9TH FLOOR, MAIL STOP","NUMBER J3-JTTC-09-B,EAST BRUNSWICK,","NJ 08816-1199.TEL:732-220-775,FAX:8",,1-9099837944 TEL,EX,1-609758,65,,,
20180101416,AGILITY LOGISTICS CORP.,230-59 INTERNATIONAL AIRPORT CENTER,JAMAICA/QUEENS NY 11413 UNITED STAT,,,,,,,,,
20180101417,AGILITY LOGISTICS CORP.,230-59 INTERNATIONAL AIRPORT CENTER,JAMAICA/QUEENS NY 11413 UNITED STAT,,,,,,,,,
20180101419,"OK CONTAINER SALES,INC","2707 E.VALLEY BLVD.,STE305,",WEST COVINA CA 91792 UNITED STATES,,,,,,,,,
20180101421,"RISING PHARMACEUTICALS INC.,","4580 S.MENDENHALL ROAD,",MEMPHIS,TN 38141 UNITED STATES,,,,,,,,
20180101422,"RISING PHARMACEUTICALS INC.,","4580 S.MENDENHALL ROAD,",MEMPHIS,TN 38141 UNITED STATES,,,,,,,,
